FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1A,Dönen Varlıklar,CURRENT ASSETS,5579295530,7096468840,7350758135,7211990177,7896319536,8526107864,9269780500,8541332529,8520943865,9488434042,9913903313,12133848192,9321742256,9973676543,10236667180,THYAO
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,2540253009,3514983764,3598352747,4067478112,2614994945,2617125893,908189309,682065558,839795199,1009083086,1832633658,3406605117,2347668877,2481412826,2412725821,THYAO
1AB,Finansal Yatırımlar,Short-Term Financial Investments,574692263,793462502,885829637,624866539,2655385193,3213153663,5576423831,5334149393,4816501564,4780038497,4391867184,4188699079,3173784219,3781736343,3824480058,THYAO
1AC,Ticari Alacaklar,Short-Term Trade Receivables,990827565,1147836610,1149519461,993914158,903542876,900361815,865857216,854218024,988479947,1164714933,1157200322,1132364740,1078403645,1023851865,1148681147,THYAO
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
1AE,Diğer Alacaklar,Short-Term Other Receivables,723156136,846483818,916338312,874813154,948936303,974696168,916648436,888261962,834229956,1152064904,1345893366,1712848946,1337696287,1260034562,1150172192,THYAO
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
1AF,Stoklar,Inventories,285402530,300514037,300990184,330770873,339434432,356944058,358491942,417445145,453103551,498398981,456315366,839691679,731147099,802187258,895925121,THYAO
1AG,Canlı Varlıklar,Short-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
1AH,Diğer Dönen Varlıklar,Other Current Assets,464964026,493188109,499727794,320147341,434025787,463826267,644169766,365192447,588833649,884133640,729993418,853638631,653042129,624453688,804682840,THYAO
1AI,(Ara Toplam),(Subtotal),5579295530,7096468840,7350758135,7211990177,7896319536,8526107864,9269780500,8541332529,8520943865,9488434042,9913903313,12133848192,9321742256,9973676543,10236667180,THYAO
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
1AK,Duran Varlıklar,LONG TERM ASSETS,21643604869,22214254047,23061809714,23674781123,24116521957,24473706590,25381280537,27026546812,27528722839,28031156778,29687325386,37535967645,31249124458,31535727562,32918141678,THYAO
1B,Ticari Alacaklar,Trade Receivables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
1BB,Diğer Alacaklar,Other Receivables,899103215,831446134,825998135,954890028,973274685,942766800,1069714869,1392817543,1318529786,1317731631,1227938273,1582819348,1355669681,1429529493,1315966678,THYAO
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
1BC,Finansal Yatırımlar,Financial Investments,125959014,117365829,131737108,164371130,279917448,303908835,367133377,397540970,539983181,597592237,1134615666,1393027238,1774211880,1385598457,1619730842,THYAO
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,234868892,219274596,278405140,276478753,236504446,234599685,348683731,495942871,512218801,494780343,616894610,805835720,605703381,616189931,741289416,THYAO
1BE,Canlı Varlıklar,Long-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,0,0,0,68866111,68897946,68883941,68876249,43097456,43099717,43089161,43092226,54048875,43109714,43102149,43168132,THYAO
1BFA,Stoklar,Stoklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
1BFAA,Kullanım Hakkı Varlıkları,None,15029767791,15638292774,16254925318,16546177664,16251732872,16226304234,16380842996,16896847545,17024666395,16977372869,17416953119,22066526679,17766462175,17786468537,18339169248,THYAO
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,4387356361,4426471117,4553338975,4646860987,5193873190,5499543866,5799350981,6064466470,6218417245,6530881579,6939779127,8833388961,7161128835,7591227859,8065779095,THYAO
1BGA,Şerefiye,Goodwill,12411771,12401596,12397518,26692291,26683622,26672233,26690002,26685836,26682249,26668451,26680319,33465587,26669345,26675106,26670450,THYAO
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,76857503,72732066,71528291,76446722,71034720,77929307,82768176,86703536,90589792,96943011,105872888,139930869,123725673,147290794,156535583,THYAO
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,1295734,1258133,646827,1708307,2605822,3710919,7110042,331046783,345230587,397077113,503561764,503864691,593095574,635631110,685230968,THYAO
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,875984588,895011802,932832402,912289131,1011997207,1089386771,1230110114,1291397802,1409305087,1549020383,1671937395,2123059677,1799348200,1874014126,1924601266,THYAO
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,27222900399,29310722887,30412567849,30886771300,32012841493,32999814454,34651061037,35567879341,36049666704,37519590820,39601228699,49669815837,40570866714,41509404105,43154808858,THYAO
1BM,KAYNAKLAR,LIABILITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,7637739967,9027163689,8261921831,8223361093,9034177967,9629835792,8878618829,9047007083,9478660384,10083319903,10181291597,12049492200,10388304607,10842501331,10422903400,THYAO
2AA,Finansal Borçlar,Short-Term Financial Loans,4208749616,4051487592,3736935441,3746743540,4064144925,3909028358,3811966747,3723470990,3275578476,3052883811,3738287135,4628045810,3666783846,3474394912,3628768494,THYAO
