FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1A,Dönen Varlıklar,CURRENT ASSETS,632790057,699296824,756648412,1205995249,676567298,528375429,551332021,970665484,482704275,436117992,450345177,475901621,538473081,534890989,498016695,ZOREN
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,78694650,133006099,114372820,202804773,84894829,79652797,69156858,94670021,31265784,37621825,48731953,54720245,82729736,70403392,142384324,ZOREN
1AB,Finansal Yatırımlar,Short-Term Financial Investments,22716541,22760823,26415931,57909940,30645827,23159732,21621673,19537016,12458044,12231331,11801156,0,0,0,0,ZOREN
1AC,Ticari Alacaklar,Short-Term Trade Receivables,259863471,252028889,311685901,630166186,377069596,256959752,265111828,293114003,228645265,186831989,188738126,228525705,182187521,188023505,188526608,ZOREN
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZOREN
1AE,Diğer Alacaklar,Short-Term Other Receivables,170034439,176039278,175597803,130032618,62068293,59637953,61330963,63302126,100271831,72931188,75680158,38902379,34106709,34276457,36238120,ZOREN
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZOREN
1AF,Stoklar,Inventories,24057490,38701487,32544995,62671204,29660722,33375545,34800408,26013638,21371709,24561795,15697623,16600386,11347264,12915423,13684899,ZOREN
1AG,Canlı Varlıklar,Short-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZOREN
1AH,Diğer Dönen Varlıklar,Other Current Assets,77423466,76760248,96030961,122410527,92228030,75589650,99310290,131820944,88691642,101939864,109696160,137152906,114280443,121107796,117182744,ZOREN
1AI,(Ara Toplam),(Subtotal),632790057,699296824,756648412,1205995249,676567298,528375429,551332021,628457749,482704275,436117992,450345177,475901621,424651673,426726573,498016695,ZOREN
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0,0,0,0,0,0,0,342207736,0,0,0,0,113821408,108164416,0,ZOREN
1AK,Duran Varlıklar,LONG TERM ASSETS,2101656017,2307289922,2159765094,5079747224,2893394292,2365868239,2311157187,3852084174,2624606537,2809396387,2920383676,3739581462,2907481769,2893302489,2981367215,ZOREN
1B,Ticari Alacaklar,Trade Receivables,3987247,3961861,3510330,8059310,8356820,5743460,5282980,18266133,11463319,11711585,16792950,20654052,19092185,11774322,24868981,ZOREN
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZOREN
1BB,Diğer Alacaklar,Other Receivables,288193405,283462142,289251729,655050342,421548797,428487684,419425618,604877032,312492054,334086416,343921158,440857792,366643125,383450734,417648816,ZOREN
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,2634501,9372012,33638726,750427,5242446,6928596,10505214,14723156,15026404,24330233,33794398,8513212,10847525,37091283,75580185,ZOREN
1BC,Finansal Yatırımlar,Financial Investments,16776,14738,13260,104260,12821,9509,8970,95621,69473,74076,77613,100077,82043,82638,85062,ZOREN
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,91605210,82105755,83482894,141974749,134119128,166029355,156422738,218665946,150005163,149280499,162658670,204020236,78498482,74597060,82842676,ZOREN
1BE,Canlı Varlıklar,Long-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZOREN
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZOREN
1BFA,Stoklar,Stoklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZOREN
1BFAA,Kullanım Hakkı Varlıkları,None,10526136,8731143,7631858,32584081,13162843,9334431,8961423,29581470,20678156,23797776,24354509,32145134,26179967,28357873,29056361,ZOREN
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,1278865482,1511545586,1349294419,3041865257,1777545576,1324390211,1244108547,1979160159,1388894619,1516647925,1587996226,1950665308,1570445608,1555076107,1565633742,ZOREN
1BGA,Şerefiye,Goodwill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZOREN
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,101015719,87587500,78227640,470825165,78298606,57198217,53188653,375063765,269134110,283335655,292932963,372187650,300866846,298956883,303736412,ZOREN
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,50319160,46150652,47236270,90784166,58675096,53831949,61095347,232464727,188932741,211361855,222412989,375344523,291089637,281193598,264675433,ZOREN
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,274492379,274358532,267477967,637749466,396432160,313914827,352157697,379186167,267910499,254770369,235442200,335093478,243736351,222721991,217239548,ZOREN
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,2734446074,3006586745,2916413506,6285742473,3569961590,2894243668,2862489207,4822749658,3107310813,3245514379,3370728852,4215483082,3445954850,3428193477,3479383910,ZOREN
1BM,KAYNAKLAR,LIABILITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZOREN
