date,open,high,low,close,volume,symbol
2020-01-02,5.2101555,5.264702,5.142946,5.2598,624416392.0,ASELS
2020-01-03,5.2388887,5.3426247,5.089373,5.3037,1220834517.0,ASELS
2020-01-06,5.3774467,5.4448996,5.279312,5.3767,1056855031.0,ASELS
2020-01-07,5.43248,5.493601,5.3523645,5.4546,790162722.0,ASELS
2020-01-08,5.435159,5.4789906,5.3523645,5.4205,807541941.76,ASELS
2020-01-09,5.5413294,5.5763946,5.4887314,5.5715,593083626.16,ASELS
2020-01-10,5.562028,5.6348376,5.4887314,5.5277,621952649.0,ASELS
2020-01-13,5.56909,5.6007457,5.5228224,5.5813,537283769.0,ASELS
2020-01-14,5.636785,5.6932797,5.542303,5.6689,657448583.0,ASELS
2020-01-15,5.619009,5.6835394,5.5763946,5.591,456890530.0,ASELS
2020-01-16,5.625828,5.6689296,5.542303,5.5715,450994012.0,ASELS
2020-01-17,5.56495,5.625097,5.5228224,5.5813,357444525.0,ASELS
2020-01-20,5.62461,5.664059,5.581265,5.6251,422377775.0,ASELS
2020-01-21,5.6112165,5.644578,5.5763946,5.6251,323074333.0,ASELS
2020-01-22,5.631672,5.664059,5.6007457,5.6105,384644923.0,ASELS
2020-01-23,5.598554,5.6299677,5.552043,5.5618,330939447.0,ASELS
2020-01-24,5.564463,5.615357,5.5033417,5.5861,311969407.0,ASELS
2020-01-27,5.677208,5.785814,5.5130816,5.703,773679963.0,ASELS
2020-01-28,5.704481,5.780944,5.644578,5.6543,507403880.0,ASELS
2020-01-29,5.7061863,5.7760735,5.649448,5.6689,482449988.0,ASELS
2020-01-30,5.71276,5.761462,5.649448,5.7615,481937237.0,ASELS
2020-01-31,5.7838664,5.8442574,5.71276,5.7128,530679792.0,ASELS
2020-02-03,5.7018027,5.732241,5.664059,5.6933,287604076.0,ASELS
2020-02-04,5.8578935,5.9903636,5.7468524,5.9855,750887898.0,ASELS
2020-02-05,5.978431,6.063416,5.8978286,5.9417,620942453.0,ASELS
2020-02-06,5.9721,6.0147147,5.9319205,5.9417,321566617.0,ASELS
2020-02-07,5.966012,6.034195,5.912439,5.9563,384152694.0,ASELS
2020-02-10,5.883949,6.029325,5.6689296,5.8735,653479912.0,ASELS
2020-02-11,5.951401,6.048805,5.8393865,6.0293,681131596.0,ASELS
2020-02-12,6.664644,6.983887,6.2630944,6.8183,4075396127.0,ASELS
2020-02-13,6.891109,7.0033674,6.7647276,6.8719,1407907923.0,ASELS
2020-02-14,7.0827518,7.232268,6.876742,7.0813,1614927623.0,ASELS
2020-02-17,7.2123,7.456298,7.0033674,7.0472,2114108591.0,ASELS
2020-02-18,7.106616,7.222527,6.9351845,7.1056,1411804524.0,ASELS
2020-02-19,7.1597013,7.2907104,7.0277185,7.2517,1384775231.0,ASELS
