date,open,high,low,close,volume,symbol
2020-01-02,17.28,17.47,16.88,17.41,36217888.0,PARSN
2020-01-03,16.954,17.4,15.75,17.01,29497859.0,PARSN
2020-01-06,16.768,16.98,16.43,16.43,24077563.0,PARSN
2020-01-07,16.832,17.08,16.58,16.84,15316382.0,PARSN
2020-01-08,16.693,16.99,16.25,16.73,18486690.26,PARSN
2020-01-09,17.214,17.4,17.05,17.4,25786982.3,PARSN
2020-01-10,17.528,17.79,17.29,17.52,27850114.0,PARSN
2020-01-13,17.651,17.77,17.52,17.61,17920025.0,PARSN
2020-01-14,17.517,17.68,17.3,17.41,10722510.0,PARSN
2020-01-15,17.261,17.5,17.07,17.07,12072674.0,PARSN
2020-01-16,17.11,17.31,16.85,16.9,10192091.0,PARSN
2020-01-17,16.939,17.18,16.7,16.93,9304001.0,PARSN
2020-01-20,17.415,17.7,17.0,17.57,19957282.0,PARSN
2020-01-21,18.425,18.84,17.4,18.65,33760564.0,PARSN
2020-01-22,18.858,19.17,18.26,18.77,37719420.0,PARSN
2020-01-23,18.743,19.08,18.28,18.28,12444550.0,PARSN
2020-01-24,18.568,18.98,18.3,18.45,17023686.0,PARSN
2020-01-27,18.373,18.61,18.16,18.19,18491115.0,PARSN
2020-01-28,18.12,18.46,17.81,17.82,13215689.0,PARSN
2020-01-29,17.767,18.13,17.54,17.61,10692813.0,PARSN
2020-01-30,17.636,17.81,17.4,17.58,16476479.0,PARSN
2020-01-31,17.684,17.81,17.55,17.72,7028816.0,PARSN
2020-02-03,18.227,18.6,17.73,18.29,19979980.0,PARSN
2020-02-04,18.557,18.74,18.35,18.6,12915225.0,PARSN
2020-02-05,18.518,18.81,18.12,18.38,15832576.0,PARSN
2020-02-06,18.557,18.82,18.35,18.38,12011679.0,PARSN
2020-02-07,18.291,18.57,18.02,18.03,8395695.0,PARSN
2020-02-10,17.742,18.4,16.36,17.28,11367983.0,PARSN
2020-02-11,17.369,17.77,16.99,17.64,11340476.0,PARSN
2020-02-12,17.782,18.08,17.45,17.65,11257318.0,PARSN
