date,open,high,low,close,volume,symbol
2020-01-02,9.879,10.21,9.64,9.69,40341659.0,SMART
2020-01-03,9.083,9.7,8.65,9.0,83286891.0,SMART
2020-01-06,8.562,8.99,8.3,8.3,41405190.0,SMART
2020-01-07,9.187,9.5,8.3,9.33,96384528.0,SMART
2020-01-08,9.57,10.18,8.56,9.25,104432583.7,SMART
2020-01-09,9.822,10.25,9.61,9.76,48029241.8,SMART
2020-01-10,9.727,9.94,9.5,9.66,55129615.0,SMART
2020-01-13,9.68,9.85,9.61,9.66,37524778.0,SMART
2020-01-14,10.011,10.54,9.41,10.19,157218214.0,SMART
2020-01-15,10.161,10.47,9.93,9.98,45587263.0,SMART
2020-01-16,10.115,10.26,9.82,9.95,53665135.0,SMART
2020-01-17,9.924,10.14,9.7,9.97,27206078.0,SMART
2020-01-20,10.611,11.18,10.25,11.0,99717932.0,SMART
2020-01-21,12.049,12.6,11.1,12.04,262892104.0,SMART
2020-01-22,12.154,12.62,11.11,11.53,174209899.0,SMART
2020-01-23,11.563,11.87,11.21,11.41,82434918.0,SMART
2020-01-24,12.002,12.33,11.31,11.89,227444229.0,SMART
2020-01-27,12.252,12.6,11.51,11.99,131565931.0,SMART
2020-01-28,11.954,12.32,11.7,11.75,59351756.0,SMART
2020-01-29,11.313,12.07,10.8,11.0,62109055.0,SMART
2020-01-30,10.077,10.85,9.57,9.98,59319205.0,SMART
2020-01-31,10.521,10.78,10.0,10.46,63595111.0,SMART
2020-02-03,10.32,10.6,10.07,10.27,21889523.0,SMART
2020-02-04,10.549,10.75,10.38,10.58,31338060.0,SMART
2020-02-05,10.942,11.29,10.56,11.1,67101291.0,SMART
2020-02-06,11.109,11.48,10.84,10.93,25518307.0,SMART
2020-02-07,10.795,11.03,10.61,10.7,16583027.0,SMART
2020-02-10,10.44,10.9,9.71,10.18,25355242.0,SMART
2020-02-11,10.213,10.46,10.01,10.34,18754141.0,SMART
2020-02-12,10.263,10.4,10.1,10.2,19638709.0,SMART
2020-02-13,10.742,11.13,10.12,10.57,74653620.0,SMART
2020-02-14,10.449,10.7,10.25,10.41,22051393.0,SMART
2020-02-17,10.377,10.67,10.3,10.31,15305390.0,SMART
2020-02-18,10.106,10.33,9.94,10.01,16049631.0,SMART
2020-02-19,9.714,10.07,9.45,9.46,19756698.0,SMART
2020-02-20,8.844,9.57,8.18,8.48,27943947.0,SMART
2020-02-21,8.863,9.23,7.99,9.05,43217377.0,SMART
2020-02-24,8.952,9.19,8.51,9.1,15259944.0,SMART
2020-02-25,9.373,9.66,8.98,9.26,20658579.0,SMART
2020-02-26,9.136,9.34,8.92,9.06,12514619.0,SMART
2020-02-27,8.774,9.09,8.5,8.52,11541805.0,SMART
2020-02-28,7.965,8.25,6.86,8.07,11487141.0,SMART
2020-03-02,8.504,8.67,8.25,8.55,9370709.0,SMART
2020-03-03,8.89,9.09,8.62,9.07,12332721.0,SMART
2020-03-04,8.911,9.1,8.68,8.68,10128214.0,SMART
2020-03-05,9.002,9.23,8.76,8.98,17697611.0,SMART
2020-03-06,8.737,9.05,8.56,8.56,8124466.0,SMART
2020-03-09,7.939,8.34,7.4,7.52,12927588.0,SMART
2020-03-10,7.569,8.0,6.88,6.99,13323104.0,SMART
2020-03-11,6.519,6.93,6.11,6.33,13294016.0,SMART
2020-03-12,5.307,5.99,5.07,5.07,12811996.0,SMART
2020-03-13,5.268,5.52,4.74,5.4,14249978.0,SMART
2020-03-16,4.96,5.09,4.86,4.86,7248704.0,SMART
2020-03-17,4.545,5.02,4.38,4.55,13076050.0,SMART
2020-03-18,4.505,4.7,4.15,4.46,9638956.0,SMART
2020-03-19,4.54,4.77,4.28,4.63,15213864.0,SMART
2020-03-20,4.859,5.09,4.68,5.09,19499890.0,SMART
2020-03-23,5.346,5.59,4.83,5.59,19090580.0,SMART
2020-03-24,6.112,6.14,6.03,6.14,3332990.0,SMART
2020-03-25,6.68,6.75,6.44,6.75,24112933.0,SMART
2020-03-26,7.374,7.42,7.15,7.42,8641787.0,SMART
2020-03-27,7.948,8.16,7.4,8.09,59158853.0,SMART
2020-03-30,8.067,8.49,7.67,7.88,46663568.0,SMART
2020-03-31,8.141,8.56,7.75,8.28,65029756.0,SMART
2020-04-01,8.179,8.5,7.9,7.94,44190451.0,SMART
2020-04-02,7.854,8.24,7.25,7.87,40759247.0,SMART
2020-04-03,7.884,8.18,7.68,7.8,24560639.0,SMART
2020-04-06,8.077,8.23,7.89,8.12,34526754.0,SMART
2020-04-07,8.333,8.53,7.94,8.02,53816394.0,SMART
2020-04-08,7.95,8.19,7.65,8.02,24909075.0,SMART
2020-04-09,8.519,8.82,8.09,8.82,152515714.0,SMART
2020-04-10,9.008,9.41,8.33,8.97,144470219.0,SMART
2020-04-13,9.027,9.2,8.7,8.81,43702131.0,SMART
2020-04-14,8.855,9.07,8.65,8.65,36809240.0,SMART
2020-04-15,8.152,8.73,7.79,8.06,31243719.0,SMART
2020-04-16,8.132,8.44,7.8,8.18,37069983.0,SMART
2020-04-17,8.482,8.78,8.25,8.62,48485412.0,SMART
2020-04-20,8.921,9.12,8.59,8.9,74179921.0,SMART
2020-04-21,9.163,9.36,8.65,9.12,95823999.0,SMART
2020-04-22,9.592,10.03,9.07,9.69,170535554.0,SMART
2020-04-24,10.091,10.41,9.62,10.02,150125414.0,SMART
2020-04-27,10.417,10.73,10.19,10.38,84018944.0,SMART
2020-04-28,10.169,10.6,9.84,9.96,66306808.0,SMART
2020-04-29,10.618,10.95,9.77,10.75,207865805.0,SMART
2020-04-30,10.322,10.88,9.87,10.06,136517120.0,SMART
2020-05-04,9.651,9.97,9.37,9.37,27019717.0,SMART
2020-05-05,9.955,10.3,9.6,10.3,67439285.0,SMART
2020-05-06,10.496,10.86,9.93,10.1,134951793.0,SMART
2020-05-07,10.315,10.67,9.77,10.28,74792985.0,SMART
2020-05-08,10.284,10.63,9.91,10.04,45053760.0,SMART
2020-05-11,10.059,10.28,9.9,9.91,31891241.0,SMART
2020-05-12,9.909,10.15,9.7,9.9,41433855.0,SMART
2020-05-13,9.964,10.12,9.81,9.89,31936763.0,SMART
2020-05-14,10.132,10.46,9.85,10.09,93911551.0,SMART
2020-05-15,10.144,10.33,10.02,10.02,25499094.0,SMART
2020-05-18,10.016,10.21,9.94,9.95,23670301.0,SMART
2020-05-20,9.89,10.03,9.8,9.81,17880298.0,SMART
2020-05-21,9.989,10.15,9.75,9.91,34634009.0,SMART
2020-05-22,9.893,10.09,9.78,9.8,20261017.0,SMART
2020-05-27,9.944,10.09,9.84,9.85,16705264.0,SMART
2020-05-28,9.482,9.93,9.13,9.49,51506680.0,SMART
2020-05-29,9.289,9.5,9.15,9.25,19033122.0,SMART
2020-06-01,9.532,9.8,9.4,9.43,19463724.0,SMART
2020-06-02,9.339,9.5,9.26,9.28,25061812.0,SMART
2020-06-03,9.558,9.77,9.24,9.51,42823874.0,SMART
2020-06-04,9.592,9.86,9.38,9.43,46666052.0,SMART
2020-06-05,9.355,9.55,9.24,9.28,44808850.0,SMART
2020-06-08,9.33,9.49,9.1,9.14,24436577.0,SMART
2020-06-09,9.064,9.23,8.96,9.0,19416352.0,SMART
2020-06-10,9.11,9.24,9.01,9.02,21239944.0,SMART
2020-06-11,9.061,9.17,8.95,8.95,17470506.0,SMART
2020-06-12,8.895,9.08,8.75,8.87,19017718.0,SMART
2020-06-15,8.667,8.82,8.57,8.64,44039096.0,SMART
2020-06-16,8.967,9.15,8.7,8.97,51144610.0,SMART
2020-06-17,9.019,9.12,8.91,8.96,30364817.0,SMART
2020-06-18,8.974,9.08,8.83,8.85,20265984.0,SMART
2020-06-19,8.757,8.94,8.69,8.72,17319844.0,SMART
2020-06-22,8.632,8.75,8.5,8.56,15752890.0,SMART
2020-06-23,8.828,9.06,8.58,8.64,52113183.0,SMART
2020-06-24,8.758,8.94,8.62,8.8,26236381.0,SMART
2020-06-25,8.277,8.79,8.02,8.23,116134209.0,SMART
2020-06-26,8.11,8.38,8.02,8.08,134048134.0,SMART
2020-06-29,8.081,8.18,8.0,8.01,56661105.0,SMART
2020-06-30,8.187,8.42,8.02,8.19,95121134.0,SMART
2020-07-01,8.209,8.3,8.1,8.18,55626581.0,SMART
2020-07-02,8.417,8.57,8.21,8.52,99406457.0,SMART
2020-07-03,8.949,9.34,8.58,9.29,176657191.0,SMART
2020-07-06,9.306,9.55,9.09,9.22,106554129.0,SMART
2020-07-07,9.007,9.3,8.78,8.87,62843318.0,SMART
2020-07-08,9.083,9.25,8.9,9.0,73611293.0,SMART
2020-07-09,8.892,9.24,8.31,8.43,55952922.0,SMART
2020-07-10,8.101,8.42,7.88,8.21,43255616.0,SMART
2020-07-13,8.605,8.83,8.3,8.7,54108705.0,SMART
2020-07-14,8.645,8.88,8.5,8.55,43520405.0,SMART
2020-07-16,8.621,8.71,8.56,8.57,26157787.0,SMART
2020-07-17,8.674,8.78,8.51,8.7,64037287.0,SMART
2020-07-20,8.801,8.94,8.59,8.8,58712350.0,SMART
2020-07-21,8.792,8.98,8.5,8.59,38805039.0,SMART
2020-07-22,8.501,8.73,8.35,8.49,37476173.0,SMART
2020-07-23,8.518,8.59,8.42,8.48,20886070.0,SMART
2020-07-24,8.373,8.5,8.33,8.4,16791272.0,SMART
2020-07-27,8.416,8.5,8.32,8.33,20302821.0,SMART
2020-07-28,8.109,8.35,7.92,7.99,27664389.0,SMART
2020-07-29,7.812,8.06,7.65,7.79,23611154.0,SMART
2020-07-30,7.895,8.1,7.74,7.88,14153606.0,SMART
2020-08-04,7.637,8.0,7.21,7.49,24942248.0,SMART
2020-08-05,7.384,7.59,7.2,7.4,20637047.0,SMART
2020-08-06,7.32,8.0,6.7,7.5,47963656.0,SMART
2020-08-07,7.166,7.7,6.75,7.41,51245845.0,SMART
2020-08-10,7.637,7.95,7.0,7.58,65740046.0,SMART
2020-08-11,7.991,8.3,7.58,8.26,77158932.0,SMART
2020-08-12,8.265,8.48,8.04,8.04,68557221.0,SMART
2020-08-13,8.016,8.22,7.85,7.85,42333187.0,SMART
2020-08-14,7.781,7.93,7.6,7.72,11837737.0,SMART
2020-08-17,7.856,8.05,7.51,7.8,28576123.0,SMART
2020-08-18,7.8,7.98,7.4,7.72,23531116.0,SMART
2020-08-19,7.741,7.85,7.65,7.69,11925695.0,SMART
2020-08-20,7.639,7.78,7.5,7.66,13615851.0,SMART
2020-08-21,7.623,7.74,7.52,7.58,12737778.0,SMART
2020-08-24,7.585,7.67,7.46,7.52,10886573.0,SMART
2020-08-25,7.505,7.64,7.3,7.37,12949359.0,SMART
2020-08-26,7.405,7.5,7.31,7.37,9622351.0,SMART
2020-08-27,7.451,7.53,7.37,7.41,12774820.0,SMART
2020-08-28,7.652,7.83,7.46,7.53,52228321.0,SMART
2020-08-31,7.54,7.78,7.4,7.43,31121292.0,SMART
2020-09-01,7.478,7.59,7.37,7.48,17543012.0,SMART
2020-09-02,7.7,7.98,7.47,7.7,70513296.0,SMART
2020-09-03,8.01,8.33,7.65,7.79,111172967.0,SMART
2020-09-04,7.867,8.08,7.74,7.8,29622094.0,SMART
2020-09-07,7.951,8.08,7.81,8.0,50470183.0,SMART
2020-09-08,8.101,8.3,7.93,8.2,62897846.0,SMART
2020-09-09,8.536,8.91,8.17,8.2,127971764.0,SMART
2020-09-10,8.184,8.36,8.05,8.09,44145840.0,SMART
2020-09-11,8.084,8.17,8.03,8.07,20815678.0,SMART
2020-09-14,8.142,8.25,8.05,8.11,28096903.0,SMART
2020-09-15,8.136,8.25,7.93,8.14,21758065.0,SMART
2020-09-16,8.156,8.23,8.09,8.16,19233765.0,SMART
2020-09-17,8.276,8.4,8.15,8.35,52837201.0,SMART
2020-09-18,8.372,8.49,8.28,8.35,46971890.0,SMART
2020-09-21,8.462,8.62,8.14,8.21,63465209.0,SMART
2020-09-22,8.199,8.35,8.11,8.14,29549890.0,SMART
2020-09-23,8.248,8.34,8.16,8.24,27669523.0,SMART
2020-09-24,8.471,8.64,8.2,8.5,58385903.0,SMART
2020-09-25,8.584,8.75,8.44,8.47,58461058.0,SMART
2020-09-28,8.721,8.95,8.56,8.94,101603647.0,SMART
2020-09-29,8.985,9.17,8.62,8.85,103516249.0,SMART
2020-09-30,8.878,9.1,8.75,8.93,55871293.0,SMART
2020-10-01,8.619,8.96,8.5,8.57,19483788.0,SMART
2020-10-02,8.407,8.56,8.27,8.56,8419032.0,SMART
2020-10-05,8.71,8.85,8.62,8.75,13479595.0,SMART
2020-10-06,8.67,8.8,8.6,8.62,12272600.0,SMART
2020-10-07,8.661,8.79,8.37,8.68,14832350.0,SMART
2020-10-08,8.572,8.69,8.51,8.54,9475319.0,SMART
2020-10-09,8.569,8.64,8.45,8.63,10223599.0,SMART
2020-10-12,8.872,9.2,8.64,9.11,27881679.0,SMART
2020-10-13,8.907,9.18,8.7,8.88,19460497.0,SMART
2020-10-14,8.751,8.9,8.7,8.75,10875600.0,SMART
