date,open,high,low,close,volume,symbol
2020-01-02,5.518,5.57,5.45,5.55,191658297.0,VAKBN
2020-01-03,5.389,5.55,5.25,5.37,233396991.0,VAKBN
2020-01-06,5.235,5.34,5.15,5.15,143609376.0,VAKBN
2020-01-07,5.255,5.29,5.22,5.24,94711316.0,VAKBN
2020-01-08,5.29,5.41,5.13,5.36,186201570.0,VAKBN
2020-01-09,5.611,5.71,5.49,5.69,247931983.07,VAKBN
2020-01-10,5.902,6.05,5.74,5.98,256605950.0,VAKBN
2020-01-13,6.181,6.3,6.07,6.1,207233674.0,VAKBN
2020-01-14,6.267,6.42,6.05,6.39,361848063.0,VAKBN
2020-01-15,6.334,6.45,6.22,6.26,192074097.0,VAKBN
2020-01-16,6.45,6.57,6.3,6.4,254776033.0,VAKBN
2020-01-17,6.429,6.53,6.34,6.5,119245832.0,VAKBN
2020-01-20,6.674,6.76,6.51,6.75,276103479.0,VAKBN
2020-01-21,6.818,6.89,6.68,6.86,222685815.0,VAKBN
2020-01-22,6.9,7.01,6.77,6.8,236519633.0,VAKBN
2020-01-23,6.764,6.85,6.62,6.64,180464918.0,VAKBN
2020-01-24,6.678,6.82,6.52,6.74,232376737.0,VAKBN
2020-01-27,6.651,6.73,6.57,6.58,145208015.0,VAKBN
2020-01-28,6.649,6.73,6.56,6.71,176303557.0,VAKBN
2020-01-29,6.739,6.81,6.66,6.66,150560634.0,VAKBN
2020-01-30,6.651,6.76,6.56,6.75,130781457.0,VAKBN
2020-01-31,6.691,6.78,6.6,6.6,152706754.0,VAKBN
2020-02-03,6.591,6.65,6.54,6.59,129982693.0,VAKBN
2020-02-04,6.743,6.79,6.7,6.79,253742965.0,VAKBN
2020-02-05,6.844,6.92,6.76,6.77,268087483.0,VAKBN
2020-02-06,6.832,6.92,6.63,6.74,202054548.0,VAKBN
2020-02-07,6.677,6.81,6.55,6.6,140317894.0,VAKBN
2020-02-10,6.419,6.61,6.15,6.34,265884535.0,VAKBN
2020-02-11,6.26,6.47,6.14,6.3,278663324.0,VAKBN
2020-02-12,6.385,6.52,6.27,6.27,447045330.0,VAKBN
2020-02-13,6.366,6.44,6.21,6.42,283955485.0,VAKBN
2020-02-14,6.535,6.59,6.48,6.55,249688672.0,VAKBN
2020-02-17,6.521,6.66,6.45,6.45,203828991.0,VAKBN
2020-02-18,6.345,6.42,6.29,6.33,140983359.0,VAKBN
2020-02-19,6.321,6.38,6.26,6.31,122677249.0,VAKBN
2020-02-20,6.096,6.34,5.88,5.99,263096099.0,VAKBN
2020-02-21,5.949,6.11,5.69,6.03,263027337.0,VAKBN
2020-02-24,5.803,5.91,5.74,5.82,163079600.0,VAKBN
2020-02-25,5.828,5.9,5.74,5.81,153328143.0,VAKBN
2020-02-26,5.881,5.98,5.72,5.97,207223391.0,VAKBN
2020-02-27,5.81,5.94,5.65,5.65,153841418.0,VAKBN
2020-02-28,5.394,5.54,5.05,5.3,132371074.0,VAKBN
2020-03-02,5.456,5.56,5.36,5.46,102588711.0,VAKBN
2020-03-03,5.682,5.9,5.59,5.9,235860627.0,VAKBN
2020-03-04,5.956,6.08,5.82,5.82,243704585.0,VAKBN
2020-03-05,5.875,5.97,5.73,5.78,157855077.0,VAKBN
2020-03-06,5.588,5.77,5.5,5.54,183192291.0,VAKBN
2020-03-09,5.261,5.37,5.1,5.15,157668927.0,VAKBN
2020-03-10,5.223,5.37,4.91,5.08,235508803.0,VAKBN
2020-03-11,5.045,5.15,4.89,5.12,184564493.0,VAKBN
2020-03-12,4.785,4.98,4.62,4.69,160985054.0,VAKBN
2020-03-13,4.878,5.06,4.62,4.91,219924993.0,VAKBN
2020-03-16,4.547,4.75,4.42,4.45,147011114.0,VAKBN
2020-03-17,4.471,4.65,4.17,4.65,279645298.0,VAKBN
2020-03-18,4.648,4.81,4.48,4.58,171853286.0,VAKBN
2020-03-19,4.584,4.67,4.43,4.58,168941695.0,VAKBN
2020-03-20,4.717,4.82,4.61,4.61,169292690.0,VAKBN
2020-03-23,4.437,4.57,4.32,4.34,148084657.0,VAKBN
2020-03-24,4.584,4.69,4.46,4.67,216004498.0,VAKBN
2020-03-25,4.732,4.86,4.59,4.62,257452354.0,VAKBN
2020-03-26,4.647,4.75,4.52,4.72,217163580.0,VAKBN
2020-03-27,4.595,4.75,4.48,4.49,150995133.0,VAKBN
2020-03-30,4.517,4.59,4.42,4.51,110200648.0,VAKBN
2020-03-31,4.592,4.66,4.52,4.64,156651222.0,VAKBN
2020-04-01,4.566,4.64,4.5,4.53,178835640.0,VAKBN
