HISSE_KODU,HisseTanim,SEKTOR_KODU,BHG_GRUP_KODU,PRICE_TL,ONERI,HEDEF_PD_YTL1,HEDEF_FIYAT,GETIRI_POT,TARIH,SHHE_TIP_KODU,SHHE_HS_KODU,SHHE_TARIH,SHHE_BDLI_ORAN,SHHE_BDLI_TUTAR,SHHE_BDLI_NOM_TUTAR,SHHE_RHK_ORAN,SHHE_RHK_TUTAR,SHHE_RHK_NOM_TUTAR,SHHE_BDSZ_IK_ORAN,SHHE_BDSZ_IK_TUTAR,SHHE_BDSZ_TM_ORAN,SHHE_BDSZ_TM_TUTAR,SHHE_BDSZ_BU_ORAN,SHHE_BDSZ_BU_TUTAR,SHHE_NM_SER_CARPANI,SHHE_NAKIT_TM_ORAN,SHHE_NAKIT_TM_TUTAR,SHHE_FIYAT_AYAR_OR,SHHE_ACIKLAMA,SHHE_AYAR_KUL,SHHE_NAKIT_TM_ORAN_NET,HSP_BOLUNME_ONCESI_SERMAYE,HSP_BOLUNME_SONRASI_SERMAYE,SHT_KODU,SHT_TANIMI,SHT_TANIMI_YD,SPLIT_RATIO
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,4,GUBRF,1996-05-26 23:00:00,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,10.0,57600.0,0.0,,H,10.0,576000.1657870016,576000.1657870016,4,Nakit Temettü,Cash Dividend,1.0
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,4,GUBRF,1997-05-26 23:00:00,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,40.0,230400.0,0.96,,H,40.0,576000.1657870016,576000.1657870016,4,Nakit Temettü,Cash Dividend,1.0
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,4,GUBRF,1998-05-26 23:00:00,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,45.0,259200.0,0.988311688311688,,H,45.0,576000.1657870016,576000.1657870016,4,Nakit Temettü,Cash Dividend,1.0
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,6,GUBRF,1999-05-27 23:00:00,334,1923840,1000,0.0,0.0,0,0.0,0.0,0,0,0,0,0,85.0,489600.0,0.26319948571428503,,H,85.0,576000.1657870016,2499840.1657870016,6,Bedelli ve Nakit Temettü,Rights Issue and Cash Dividend,4.339999038665927
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,4,GUBRF,2000-05-29 23:00:00,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,20.0,500000.0,0.987878787878787,Net tutar 19,H,19.0,2499840.1657870016,2499840.1657870016,4,Nakit Temettü,Cash Dividend,1.0
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,4,GUBRF,2001-05-29 23:00:00,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,21.0,528600.696251,0.98,,H,20.0,2499840.1657870016,2499840.1657870016,4,Nakit Temettü,Cash Dividend,1.0
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,7,GUBRF,2002-12-24 23:00:00,0,0,0,0.0001,1.434213,1000,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,Şirketin Gübretaş Gübre Pazarlama ile devralma yoluyla birleşmesi nedeniyle yapılan sermaye artırımı,E,0.0,2499840.1657870016,2499841.6000000015,7,Rüçhan Hakkı Kısıtlanarak,Restrictive Preemptive Rights,1.00000057372188
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,4,GUBRF,2003-05-29 23:00:00,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,17.26,431507.080046,0.9872148148148141,,H,17.26,2499841.6000000015,2499841.6000000015,4,Nakit Temettü,Cash Dividend,1.0
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,2,GUBRF,2004-01-04 23:00:00,0,0,0,0.0,0.0,0,800.0,19998731.4,0,0,0,0,0,0.0,0.0,0.111111131221719,,H,0.0,2499841.6000000015,22498573.0,2,Bedelsiz Sermaye Artırımı,Bonus Issue,8.99999943996451
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,4,GUBRF,2005-05-29 23:00:00,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,10.77612,2424474.0,0.9539482905982901,,H,9.7,22498573.0,22498573.0,4,Nakit Temettü,Cash Dividend,1.0
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,4,GUBRF,2007-05-29 23:00:00,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,22.65,5095688.0,0.9634677419354831,,H,19.25,22498573.0,22498573.0,4,Nakit Temettü,Cash Dividend,1.0
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,4,GUBRF,2008-05-30 00:00:00,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,50.0,11249287.0,0.98780487804878,,H,42.5,22498573.0,22498573.0,4,Nakit Temettü,Cash Dividend,1.0
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,2,GUBRF,2009-01-08 23:00:00,0,0,0,0.0,0.0,0,271.13,61001427.0,0,0,0,0,0,0.0,0.0,0.26944737500000004,,H,0.0,22498573.0,83500000.0,2,Bedelsiz Sermaye Artırımı,Bonus Issue,3.711346492953131
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,2,GUBRF,2013-12-05 23:00:00,0,0,0,0.0,0.0,0,300.0,250500000.0,0,0,0,0,0,0.0,0.0,0.25,,H,0.0,83500000.0,334000000.0,2,Bedelsiz Sermaye Artırımı,Bonus Issue,4.0
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,4,GUBRF,2014-05-30 00:00:00,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,20.0,66800000.0,0.9524940617577191,,H,17.0,334000000.0,334000000.0,4,Nakit Temettü,Cash Dividend,1.0
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,4,GUBRF,2015-07-31 00:00:00,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,15.0,50100000.0,0.9805194805194801,,H,12.75,334000000.0,334000000.0,4,Nakit Temettü,Cash Dividend,1.0
GUBRF,Gübre Fabrikaları,42,9,329.25,,0,0,0,-62135596800000,4,GUBRF,2016-07-29 00:00:00,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,10.0,33400000.0,0.981785063752276,,H,8.5,334000000.0,334000000.0,4,Nakit Temettü,Cash Dividend,1.0
