iter	Passed	Remaining
0	24	16983
1	43	15245
2	63	14658
3	81	14204
4	101	14062
5	122	14205
6	143	14173
7	163	14161
8	183	14088
9	203	14030
10	226	14207
11	253	14525
12	276	14591
13	299	14673
14	326	14931
15	351	15012
16	388	15592
17	409	15531
18	436	15643
19	459	15624
20	481	15570
21	503	15509
22	526	15484
23	551	15529
24	571	15437
25	593	15387
26	616	15364
27	638	15323
28	660	15281
29	682	15232
30	703	15190
31	723	15109
32	742	15013
33	763	14958
34	786	14947
35	809	14931
36	831	14903
37	851	14841
38	874	14815
39	897	14807
40	920	14789
41	940	14733
42	962	14708
43	985	14691
44	1005	14638
45	1028	14626
46	1049	14585
47	1071	14557
48	1094	14535
49	1116	14514
50	1144	14558
51	1175	14650
52	1202	14683
53	1227	14685
54	1248	14645
55	1270	14615
56	1290	14561
57	1314	14548
58	1335	14511
59	1354	14451
60	1374	14397
61	1398	14393
62	1421	14372
63	1443	14343
64	1468	14347
65	1489	14305
66	1510	14268
67	1529	14218
68	1552	14194
69	1575	14176
70	1597	14154
71	1615	14092
72	1638	14069
73	1660	14044
74	1681	14013
75	1702	13980
76	1723	13944
77	1744	13910
78	1765	13879
79	1785	13835
80	1807	13811
81	1829	13787
82	1853	13776
83	1879	13783
84	1900	13751
85	1923	13736
86	1945	13704
87	1964	13662
88	1985	13630
89	2007	13607
90	2027	13569
91	2046	13523
92	2064	13474
93	2088	13465
94	2109	13435
95	2130	13401
96	2154	13391
97	2172	13344
98	2194	13322
99	2216	13298
100	2237	13270
101	2255	13224
102	2277	13201
103	2296	13157
104	2316	13128
105	2338	13104
106	2359	13076
107	2379	13045
108	2399	13011
109	2421	12990
110	2444	12973
111	2465	12943
112	2483	12900
113	2503	12869
114	2522	12830
115	2542	12798
116	2566	12789
117	2583	12744
118	2604	12717
119	2622	12676
120	2642	12643
121	2664	12625
122	2688	12610
123	2712	12600
124	2733	12575
125	2753	12542
126	2771	12506
127	2793	12483
128	2812	12449
129	2832	12419
130	2853	12394
131	2879	12389
132	2901	12370
133	2925	12356
134	2944	12324
135	2964	12295
136	2984	12264
137	3006	12242
138	3031	12234
139	3051	12205
140	3073	12184
141	3095	12163
142	3115	12133
143	3135	12105
144	3156	12082
145	3177	12057
146	3195	12022
147	3216	11998
148	3235	11963
149	3257	11943
150	3276	11912
151	3295	11879
152	3315	11853
153	3336	11827
154	3355	11796
155	3374	11765
156	3393	11735
157	3416	11718
158	3434	11686
159	3454	11658
160	3476	11637
161	3494	11605
162	3511	11569
163	3535	11554
164	3557	11533
165	3579	11515
166	3601	11495
167	3624	11476
168	3645	11453
169	3665	11427
170	3686	11404
171	3707	11382
172	3737	11385
173	3768	11392
174	3792	11377
175	3813	11354
176	3834	11331
177	3853	11300
178	3874	11276
179	3894	11250
180	3918	11235
181	3937	11207
182	3959	11185
183	3980	11163
184	3999	11133
185	4021	11113
186	4042	11088
187	4065	11071
188	4086	11047
189	4105	11021
190	4124	10992
191	4144	10964
192	4162	10933
193	4184	10913
194	4204	10889
195	4224	10863
196	4245	10841
197	4266	10817
198	4288	10796
199	4315	10788
200	4337	10767
201	4360	10749
202	4384	10734
203	4406	10714
204	4432	10703
205	4455	10683
206	4474	10656
207	4494	10631
208	4517	10612
209	4536	10584
210	4556	10558
211	4575	10533
212	4597	10512
213	4620	10493
214	4640	10467
215	4663	10449
216	4684	10427
217	4709	10412
218	4729	10388
219	4750	10364
220	4770	10339
221	4793	10322
222	4815	10300
223	4845	10297
224	4871	10284
225	4893	10262
226	4916	10244
227	4939	10225
228	4965	10212
229	4985	10186
230	5005	10162
231	5024	10135
232	5043	10109
233	5062	10080
234	5083	10058
235	5105	10038
236	5128	10018
237	5146	9991
238	5169	9971
239	5188	9944
240	5213	9928
241	5236	9910
242	5255	9884
243	5275	9859
244	5293	9831
245	5311	9802
