feature,importance
macro_bist100_distance_ma200,9.370529980848197
macro_us_cli,8.15518769841367
macro_usdtry_vol_60d,7.676207892827412
macro_bist100_vol_60d,5.798192417378593
macro_m2_yoy,5.274820531169945
macro_tcmb_repo,5.04947220603736
macro_bist100_roc_60d,4.583560919818028
macro_eur_usd_implied,3.5070858669271767
macro_usdtry_distance_ma200,3.3228547280564666
macro_usdtry_vol_regime,2.894434152764671
macro_bist100_vol_regime,2.88313856407627
macro_bist100_roc_1d,2.43130830230568
macro_bist100_roc_5d,2.287205122379488
macro_us_cpi_yoy,2.1670678489403263
macro_bist100_roc_20d,1.8384570819949104
macro_eurtry_roc_20d,1.7759253655638831
macro_cpi_yoy,1.721923458398605
macro_us_cli_roc_20d,1.7089002923477399
macro_usdtry_vol_20d,1.6375652028871455
macro_usdtry_roc_5d,1.5573146272248288
macro_m2,1.2792143493675805
macro_bist100_ma200,1.0886215361066551
macro_tcmb_rate_change_5d,1.0056295570613605
macro_eurtry_roc_5d,0.925685091085213
fund_revenue_growth_yoy,0.9173802743978734
price_distance_from_ma200,0.8826978012505848
macro_usdtry_roc_20d,0.8715879769503715
macro_usdtry_ma200,0.8633547945720154
macro_bist100,0.8436112231158484
macro_bist100_vol_20d,0.7818645667702925
macro_us_cpi,0.6950121632335813
macro_eurtry_vs_bist100,0.6875194443622555
fund_profit_growth_yoy,0.6790331878978755
price_vol_60d,0.6660130721072524
macro_cpi,0.6311076076553531
price_sma_50,0.4728933888640851
fund_debt_to_equity,0.4645093757265462
macro_usdtry_roc_1d,0.4455283417993011
price_close,0.44021317052133707
price_volume,0.43041530579274795
fund_total_assets,0.4239250649586301
macro_eur_try,0.4171299394519453
macro_usdtry_vs_bist100,0.3609214137848964
fund_current_ratio,0.3427391944517503
price_sma_20,0.3409296418174643
price_return_20d,0.3386486290024264
price_macd_signal,0.33840515933531273
fund_roe,0.33826433936629896
price_sma_200,0.32513641561132006
macro_eur_usd_roc_1d,0.3072661451841296
fund_roa,0.2894459402407134
fund_long_term_liabilities,0.28258825800099563
price_adj_high,0.2782404705779802
macro_eurtry_roc_1d,0.26334977559990524
fund_depreciation,0.2628963457186041
fund_total_liabilities,0.23895070920162298
price_obv,0.23003978717416873
fund_current_liabilities,0.226590032695729
price_adj_open,0.21786585701814656
fund_net_margin,0.21764882001009955
price_adj_low,0.2168253230584222
price_atr_14,0.2122259118712345
fund_net_profit,0.19271981760412615
fund_revenue,0.19237430146092188
fund_net_sales,0.18820271027052493
fund_ebitda,0.17803518300926024
macro_usd_try,0.17176191658504233
price_macd_hist,0.16953143675010512
fund_current_assets,0.1646798894786026
price_macd,0.16059839461193176
fund_total_equity,0.1566582346122344
fund_gross_profit,0.14104671580239844
price_vol_20d,0.14019252362069645
fund_operating_profit,0.1365888167809617
price_is_dividend_day,0.10753821595795747
macro_tcmb_rate_change,0.10727392230627755
macro_tcmb_rate_roc_1d,0.10160656743909435
price_rsi_14,0.09843053969779121
macro_m2_mom,0.07677891123388282
macro_cpi_mom,0.0736895921603378
fund_total_debt,0.06755622919842956
macro_us_cli_roc_1d,0.06457805532865259
price_return_5d,0.043830074813910054
macro_us_cpi_mom,0.03801290126151889
price_return_1d,0.025750003866648483
price_roc_10,0.01948738301832304
