entry_date,exit_date,symbol,entry_price,exit_price,shares,return,reason,days_held
2025-01-03,,IPEKE,51.679,,387,,ENTRY,0
2025-01-03,,KFEIN,8.583731,,2329,,ENTRY,0
2025-01-03,,KARTN,94.464,,211,,ENTRY,0
2025-01-03,,OYAKC,22.76455,,878,,ENTRY,0
2025-01-06,,CIMSA,45.297928,,439,,ENTRY,0
2025-01-03,2025-01-07,OYAKC,22.76455,21.6263225,878,-0.04999999999999993,STOP_LOSS,2
2025-01-09,,TCELL,94.42078,,200,,ENTRY,0
2025-01-03,2025-01-31,KARTN,94.464,117.4,211,0.24280149051490518,TIME_EXIT,20
2025-01-03,2025-01-31,IPEKE,51.679,55.55,387,0.07490470016834672,TIME_EXIT,20
2025-02-03,,CLEBI,1809.5815,,12,,ENTRY,0
2025-02-03,,KOZAL,21.973,,1051,,ENTRY,0
2025-01-06,2025-02-03,CIMSA,45.297928,53.1371,439,0.17305807011746754,TIME_EXIT,20
2025-01-03,2025-02-03,KFEIN,8.583731,10.3994,2329,0.21152445247876472,TIME_EXIT,21
2025-02-04,,BIOEN,14.283,,1707,,ENTRY,0
2025-01-09,2025-02-06,TCELL,94.42078,104.9022,200,0.11100755575202825,TIME_EXIT,20
2025-02-07,,TKFEN,61.215,,369,,ENTRY,0
2025-02-18,,OTKAR,389.066,,58,,ENTRY,0
2025-02-03,2025-03-03,KOZAL,21.973,23.16,1051,0.05402084376279981,TIME_EXIT,20
2025-02-03,2025-03-03,CLEBI,1809.5815,1945.6133,12,0.07517307178482979,TIME_EXIT,20
2025-03-04,,GSDHO,3.427,,6947,,ENTRY,0
2025-02-04,2025-03-04,BIOEN,14.283,16.75,1707,0.1727228173352937,TIME_EXIT,20
2025-03-05,,PAPIL,16.812,,1555,,ENTRY,0
2025-02-07,2025-03-07,TKFEN,61.215,74.8,369,0.2219227313566936,TIME_EXIT,20
2025-03-10,,TUREX,16.686201,,1607,,ENTRY,0
2025-03-12,,CLEBI,2269.6091,,11,,ENTRY,0
2025-02-18,2025-03-18,OTKAR,389.066,512.5,58,0.3172572262803741,TIME_EXIT,20
2025-03-04,2025-04-03,GSDHO,3.427,3.93,6947,0.14677560548584778,TIME_EXIT,20
2025-04-04,,TUKAS,2.017,,14546,,ENTRY,0
2025-03-05,2025-04-04,PAPIL,16.812,37.78,1555,1.2472043778253625,TIME_EXIT,20
2025-04-07,,BAGFS,19.484,,2256,,ENTRY,0
2025-03-10,2025-04-09,TUREX,16.686201,30.4,1607,0.8218646653003878,TIME_EXIT,20
2025-04-10,,TOASO,163.184,,283,,ENTRY,0
2025-03-12,2025-04-11,CLEBI,2269.6091,2868.1677,11,0.2637276172359371,TIME_EXIT,20
2025-04-14,,MAVI,32.528645,,1196,,ENTRY,0
2025-04-15,,LOGO,108.30519,,358,,ENTRY,0
