iter	Passed	Remaining
0	31	21674
1	50	17715
2	71	16607
3	93	16318
4	114	15928
5	135	15656
6	156	15499
7	176	15277
8	198	15210
9	219	15115
10	239	14994
11	262	15043
12	288	15245
13	318	15616
14	344	15711
15	363	15526
16	382	15372
17	403	15278
18	427	15305
19	449	15278
20	476	15391
21	496	15289
22	513	15115
23	532	14986
24	552	14925
25	574	14896
26	594	14809
27	611	14667
28	630	14597
29	649	14507
30	667	14398
31	687	14355
32	706	14278
33	726	14223
34	746	14180
35	769	14194
36	802	14384
37	823	14343
38	839	14232
39	854	14106
40	872	14021
41	891	13961
42	907	13866
43	924	13776
44	941	13699
45	957	13619
46	977	13587
47	995	13524
48	1013	13460
49	1030	13397
50	1047	13328
51	1063	13257
52	1082	13214
53	1101	13176
54	1118	13121
55	1136	13075
56	1154	13026
57	1172	12973
58	1189	12924
59	1209	12897
60	1227	12855
61	1243	12800
62	1261	12752
63	1276	12683
64	1293	12634
65	1310	12585
66	1328	12554
67	1346	12517
68	1364	12473
69	1383	12452
70	1400	12403
71	1417	12363
72	1436	12334
73	1454	12303
74	1473	12280
75	1491	12243
76	1506	12190
77	1524	12156
78	1541	12118
79	1560	12095
80	1578	12059
81	1595	12023
82	1611	11982
83	1629	11949
84	1648	11924
85	1667	11902
86	1686	11881
87	1705	11863
88	1724	11841
89	1745	11832
90	1766	11819
91	1788	11818
92	1811	11825
93	1832	11811
94	1853	11801
95	1870	11767
96	1890	11752
97	1910	11738
98	1927	11701
99	1944	11667
100	1961	11634
101	1979	11603
102	1994	11558
103	2012	11532
104	2027	11488
105	2046	11466
106	2063	11436
107	2080	11406
108	2098	11380
109	2115	11345
110	2132	11313
111	2150	11290
112	2167	11260
113	2184	11226
114	2200	11193
115	2218	11171
116	2236	11145
117	2254	11118
118	2274	11103
119	2290	11071
120	2306	11035
121	2323	11007
122	2339	10974
123	2357	10952
124	2374	10924
125	2391	10893
126	2407	10864
127	2425	10839
128	2442	10810
129	2459	10785
130	2476	10755
131	2493	10728
132	2511	10705
133	2528	10679
134	2543	10645
135	2559	10612
136	2575	10583
137	2594	10563
138	2610	10536
139	2627	10508
140	2642	10476
141	2659	10451
142	2677	10430
143	2695	10408
144	2714	10388
145	2731	10365
146	2749	10344
147	2767	10323
148	2784	10295
149	2801	10271
150	2819	10250
151	2836	10225
152	2852	10196
153	2869	10173
154	2887	10153
155	2905	10131
156	2924	10115
157	2943	10096
158	2963	10084
159	2984	10074
160	3000	10046
161	3019	10027
162	3036	10002
163	3053	9979
164	3070	9955
165	3088	9936
166	3107	9916
167	3124	9894
168	3140	9869
169	3159	9849
170	3174	9820
171	3192	9801
172	3211	9783
173	3228	9759
174	3244	9734
175	3262	9714
176	3279	9689
177	3296	9666
178	3312	9642
179	3330	9622
180	3347	9598
181	3396	9666
182	3412	9641
183	3428	9616
184	3447	9597
185	3514	9711
186	3552	9745
187	3591	9782
188	3643	9850
189	3685	9891
190	3718	9908
191	3744	9906
192	3771	9908
193	3811	9941
194	3844	9956
195	3877	9971
196	3908	9980
197	3940	9991
198	3972	10001
199	4010	10026
200	4038	10025
201	4067	10027
202	4101	10040
203	4131	10045
204	4153	10029
205	4177	10017
206	4206	10017
207	4233	10014
208	4268	10027
209	4290	10011
210	4316	10004
211	4341	9994
212	4365	9981
213	4390	9970
214	4413	9955
215	4432	9931
216	4472	9955
217	4497	9944
218	4527	9943
219	4555	9939
220	4580	9927
221	4615	9937
222	4637	9920
223	4661	9906
224	4690	9903
225	4713	9885
226	4735	9866
227	4758	9851
228	4784	9841
229	4826	9862
230	4849	9845
231	4872	9829
232	4893	9808
233	4922	9803
234	4956	9806
235	4979	9790
236	5012	9792
237	5043	9790
238	5080	9800
239	5105	9785
240	5125	9762
241	5145	9738
242	5168	9719
243	5193	9705
244	5229	9711
245	5291	9764
246	5321	9759
247	5359	9768
248	5387	9757
249	5406	9731
250	5424	9703
251	5449	9687
252	5469	9663
253	5487	9635
254	5505	9608
255	5524	9580
256	5543	9556
257	5559	9524
258	5576	9495
259	5594	9467
260	5611	9438
261	5630	9413
262	5650	9388
263	5666	9358
264	5683	9330
265	5700	9300
266	5715	9268
267	5731	9238
268	5748	9209
269	5764	9180
270	5782	9153
271	5800	9127
272	5817	9099
273	5835	9073
274	5853	9045
275	5870	9017
276	5887	8989
277	5913	8976
278	5937	8959
279	5957	8935
280	5978	8915
281	5999	8893
282	6019	8869
283	6038	8845
284	6054	8816
285	6070	8786
286	6085	8757
287	6101	8728
288	6119	8703
289	6136	8676
290	6154	8650
291	6171	8623
292	6189	8597
293	6205	8569
294	6221	8541
295	6240	8517
296	6258	8491
297	6275	8465
298	6293	8440
299	6312	8416
300	6333	8395
301	6349	8367
302	6366	8341
303	6384	8317
304	6405	8295
305	6422	8269
306	6450	8257
307	6474	8240
308	6491	8214
309	6508	8188
310	6529	8166
311	6549	8145
312	6571	8125
313	6590	8101
314	6609	8077
315	6629	8056
316	6647	8031
317	6669	8011
318	6695	7997
319	6716	7976
320	6741	7959
321	6760	7936
322	6780	7913
323	6803	7895
324	6840	7892
325	6861	7872
326	6884	7853
327	6908	7835
328	6931	7816
329	6953	7796
330	6969	7769
331	6986	7743
332	7003	7718
333	7020	7693
334	7036	7666
335	7053	7641
336	7072	7618
337	7090	7594
338	7107	7568
339	7125	7544
340	7141	7518
341	7157	7492
342	7174	7467
343	7192	7442
344	7207	7416
345	7223	7390
346	7241	7366
347	7259	7342
348	7277	7319
349	7294	7294
350	7310	7268
351	7327	7244
352	7343	7219
353	7361	7195
354	7380	7172
355	7397	7148
356	7415	7125
357	7432	7100
358	7448	7075
359	7466	7051
360	7482	7026
361	7498	7001
362	7514	6976
363	7532	6953
364	7550	6929
365	7567	6905
366	7583	6880
367	7602	6858
368	7619	6834
369	7637	6811
370	7654	6787
371	7670	6763
372	7688	6740
373	7705	6716
374	7722	6692
375	7739	6669
376	7755	6644
377	7772	6621
378	7789	6597
379	7806	6573
380	7822	6549
381	7838	6525
382	7854	6500
383	7871	6477
384	7889	6455
385	7905	6430
386	7922	6407
387	7940	6385
388	7958	6362
389	7975	6339
390	7993	6316
391	8009	6293
392	8027	6271
393	8044	6247
394	8060	6224
395	8077	6200
396	8094	6177
397	8112	6155
398	8130	6133
399	8146	6110
400	8163	6086
401	8182	6065
402	8197	6041
403	8215	6019
404	8231	5996
405	8247	5972
406	8264	5949
407	8279	5925
408	8295	5902
409	8313	5879
410	8329	5857
411	8347	5834
412	8363	5812
413	8380	5789
414	8397	5766
415	8414	5744
416	8431	5722
417	8447	5699
418	8465	5677
419	8484	5656
420	8502	5634
421	8518	5612
422	8536	5590
423	8553	5568
424	8570	5545
425	8587	5523
426	8603	5500
427	8620	5478
428	8636	5455
429	8652	5433
430	8669	5411
431	8686	5388
432	8705	5367
433	8724	5347
434	8740	5324
435	8758	5303
436	8775	5281
437	8793	5260
438	8809	5237
439	8828	5216
440	8845	5194
441	8862	5172
442	8878	5150
443	8895	5129
444	8911	5106
445	8929	5085
446	8947	5064
447	8964	5042
448	8980	5020
449	8996	4998
450	9011	4975
451	9029	4954
452	9047	4933
453	9064	4911
454	9081	4889
455	9099	4868
456	9117	4847
457	9134	4826
458	9150	4804
459	9167	4783
460	9186	4762
461	9202	4740
462	9220	4719
463	9237	4698
464	9255	4677
465	9270	4655
466	9287	4633
467	9303	4612
468	9321	4591
469	9337	4569
470	9354	4547
471	9370	4526
472	9388	4505
473	9407	4485
474	9426	4465
475	9446	4445
476	9465	4425
477	9483	4404
478	9500	4383
479	9518	4362
480	9535	4341
481	9553	4320
482	9569	4299
483	9585	4277
484	9603	4257
485	9621	4236
486	9639	4215
487	9657	4195
488	9674	4174
489	9692	4153
490	9710	4133
491	9726	4112
492	9742	4090
493	9760	4070
494	9777	4049
495	9796	4029
496	9814	4008
497	9830	3987
498	9849	3967
499	9864	3945
500	9880	3924
501	9897	3903
502	9915	3883
503	9933	3863
504	9952	3842
505	9970	3822
506	9987	3801
507	10004	3781
508	10022	3760
509	10039	3740
510	10057	3719
511	10072	3698
512	10089	3678
513	10106	3657
514	10124	3636
515	10141	3616
516	10157	3595
517	10175	3575
518	10192	3554
519	10209	3534
520	10226	3513
521	10243	3493
522	10261	3472
523	10279	3452
524	10297	3432
525	10314	3411
526	10330	3391
527	10348	3371
528	10364	3350
529	10382	3330
530	10400	3310
531	10420	3290
532	10441	3271
533	10461	3251
534	10482	3232
535	10498	3212
536	10515	3191
537	10533	3171
538	10551	3151
539	10569	3131
540	10589	3112
541	10607	3092
542	10626	3072
543	10646	3052
544	10662	3032
545	10684	3013
546	10705	2994
547	10735	2977
548	10754	2957
549	10770	2937
550	10787	2917
551	10804	2896
552	10822	2876
553	10838	2856
554	10854	2835
555	10871	2815
556	10888	2795
557	10905	2775
558	10923	2755
559	10939	2734
560	10956	2714
561	10975	2694
562	10992	2674
563	11010	2654
564	11028	2635
565	11045	2615
566	11063	2595
567	11081	2575
568	11098	2555
569	11114	2534
570	11131	2514
571	11150	2495
572	11166	2474
573	11183	2454
574	11199	2434
575	11215	2414
576	11234	2394
577	11252	2375
578	11268	2354
579	11284	2334
580	11300	2314
581	11319	2294
582	11335	2274
583	11352	2254
584	11369	2234
585	11386	2215
586	11404	2195
587	11423	2175
588	11441	2156
589	11457	2136
590	11475	2116
591	11494	2096
592	11509	2076
593	11524	2056
594	11540	2036
595	11557	2016
596	11574	1996
597	11590	1976
598	11607	1957
599	11625	1937
600	11642	1917
601	11659	1898
602	11679	1878
603	11696	1859
604	11714	1839
605	11730	1819
606	11746	1799
607	11763	1780
608	11781	1760
609	11797	1740
610	11812	1720
611	11828	1700
612	11846	1681
613	11863	1661
614	11880	1641
615	11895	1622
616	11913	1602
617	11928	1582
618	11947	1563
619	11965	1543
620	11989	1525
621	12010	1506
622	12030	1486
623	12050	1467
624	12067	1448
625	12085	1428
626	12103	1409
627	12120	1389
628	12138	1370
629	12154	1350
630	12172	1331
631	12188	1311
632	12207	1292
633	12223	1272
634	12243	1253
635	12262	1233
636	12279	1214
637	12296	1194
638	12315	1175
639	12332	1156
640	12349	1136
641	12367	1117
642	12383	1097
643	12401	1078
644	12418	1058
645	12435	1039
646	12452	1020
647	12470	1000
648	12487	981
649	12504	961
650	12520	942
651	12537	922
652	12553	903
653	12571	884
654	12587	864
655	12604	845
656	12623	826
657	12640	806
658	12658	787
659	12675	768
660	12691	748
661	12709	729
662	12725	710
663	12742	690
664	12759	671
665	12775	652
666	12793	632
667	12811	613
668	12829	594
669	12847	575
670	12863	555
671	12879	536
672	12896	517
673	12915	498
674	12932	478
675	12951	459
676	12968	440
677	12985	421
678	13002	402
679	13019	382
680	13038	363
681	13056	344
682	13072	325
683	13090	306
684	13107	287
685	13124	267
686	13144	248
687	13167	229
688	13194	210
689	13216	191
690	13240	172
691	13260	153
692	13283	134
693	13301	114
694	13319	95
695	13338	76
696	13357	57
697	13376	38
698	13395	19
699	13415	0
